date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:41:59	73967/73967	---MCZ	200	added ('OK')	text/html	etag:W/%2262b1a44a-120ef%22	https://new.axilthemes.com/demo/template/abstrak/index-1.html	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/index-1.html	(from )
22:42:00	22/22	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20May%202023%2017:11:59%20GMT	https://new.axilthemes.com/robots.txt		(from )
22:42:00	1688/1688	---M--	200	added ('OK')	image/png	etag:%2262595801-698%22	https://new.axilthemes.com/demo/template/abstrak/assets/media/favicon.png	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/assets/media/favicon.png	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:01	163873/163873	---MCZ	200	added ('OK')	text/css	etag:W/%2262595801-28021%22	https://new.axilthemes.com/demo/template/abstrak/assets/css/vendor/bootstrap.min.css	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/assets/css/vendor/bootstrap.min.css	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:01	156576/156576	---MCZ	200	added ('OK')	text/css	etag:W/%2262595801-263a0%22	https://new.axilthemes.com/demo/template/abstrak/assets/css/vendor/font-awesome.css	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/assets/css/vendor/font-awesome.css	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:01	1749/1749	---M--	200	added ('OK')	text/css	etag:%2262595801-6d5%22	https://new.axilthemes.com/demo/template/abstrak/assets/css/vendor/slick.css	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/assets/css/vendor/slick.css	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:02	3138/3138	---M--	200	added ('OK')	text/css	etag:%2262595801-c42%22	https://new.axilthemes.com/demo/template/abstrak/assets/css/vendor/slick-theme.css	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/assets/css/vendor/slick-theme.css	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:02	7510/7510	---M--	200	added ('OK')	text/css	etag:%2262595801-1d56%22	https://new.axilthemes.com/demo/template/abstrak/assets/css/vendor/sal.css	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/assets/css/vendor/sal.css	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:02	6951/6951	---M--	200	added ('OK')	text/css	etag:%2262595801-1b27%22	https://new.axilthemes.com/demo/template/abstrak/assets/css/vendor/magnific-popup.css	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/assets/css/vendor/magnific-popup.css	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:03	4908/4908	---M--	200	added ('OK')	text/css	etag:%2262595801-132c%22	https://new.axilthemes.com/demo/template/abstrak/assets/css/vendor/green-audio-player.min.css	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/assets/css/vendor/green-audio-player.min.css	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:03	3563/3563	---M--	200	added ('OK')	text/css	etag:%2262595801-deb%22	https://new.axilthemes.com/demo/template/abstrak/assets/css/vendor/odometer-theme-default.css	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/assets/css/vendor/odometer-theme-default.css	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:03	225377/225377	---MCZ	200	added ('OK')	text/css	etag:W/%22633d6833-37061%22	https://new.axilthemes.com/demo/template/abstrak/assets/css/app.css	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/assets/css/app.css	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:03	5834/5834	---M--	200	added ('OK')	image/svg+xml	etag:%2262595801-16ca%22	https://new.axilthemes.com/demo/template/abstrak/assets/media/logo.svg	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/assets/media/logo.svg	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:04	5832/5832	---M--	200	added ('OK')	image/svg+xml	etag:%2262595801-16c8%22	https://new.axilthemes.com/demo/template/abstrak/assets/media/logo-3.svg	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/assets/media/logo-3.svg	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:04	5823/5823	---M--	200	added ('OK')	image/svg+xml	etag:%2262595801-16bf%22	https://new.axilthemes.com/demo/template/abstrak/assets/media/logo-2.svg	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/assets/media/logo-2.svg	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:04	51110/51110	---MCZ	200	added ('OK')	text/html	etag:W/%2262595801-c7a6%22	https://new.axilthemes.com/demo/template/abstrak/index-2.html	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/index-2.html	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:05	32329/32329	---MCZ	200	added ('OK')	text/html	etag:W/%2262595801-7e49%22	https://new.axilthemes.com/demo/template/abstrak/index-3.html	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/index-3.html	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:05	42854/42854	---MCZ	200	added ('OK')	text/html	etag:W/%2262595801-a766%22	https://new.axilthemes.com/demo/template/abstrak/index-4.html	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/index-4.html	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:05	48114/48114	---MCZ	200	added ('OK')	text/html	etag:W/%2262595801-bbf2%22	https://new.axilthemes.com/demo/template/abstrak/index-5.html	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/index-5.html	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
22:42:05	50807/50807	---MCZ	200	added ('OK')	text/html	etag:W/%2262595801-c677%22	https://new.axilthemes.com/demo/template/abstrak/service.html	B:/kodera_abstrak/new.axilthemes.com/demo/template/abstrak/service.html	(from https://new.axilthemes.com/demo/template/abstrak/index-1.html)
